Kelas,Hari,Jam Kuliah,Waktu,Kode MK,Mata Kuliah,Pengampu,Ruang,Kode dosen
IL 2A,Kamis,8,13.15 - 14.00,433-231-302,Instalasi Listrik Industri,"Drs. Daeng Supriyadi Pasisarha, S.T., M.Eng.",SBII/01,DS
IL 2A,Kamis,9,14.00 - 14.45,433-231-302,Instalasi Listrik Industri,"Drs. Daeng Supriyadi Pasisarha, S.T., M.Eng.",SBII/01,DS
IL 2A,Kamis,10,14.45 - 15.30,433-231-302,Instalasi Listrik Industri,"Drs. Daeng Supriyadi Pasisarha, S.T., M.Eng.",SBII/01,DS
IL 2A,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,,
IL 2A,Kamis,11,16.00 - 16.45,433-231-302,Instalasi Listrik Industri,"Drs. Daeng Supriyadi Pasisarha, S.T., M.Eng.",SBII/01,DS
IL 2A,Jumat,1,07.00 - 07.45,433-231-304,Pancasila,"Febrina Indrasari, S.H.,M.H.",SBI/08,FI
IL 2A,Jumat,2,07.45 - 08.30,433-231-304,Pancasila,"Febrina Indrasari, S.H.,M.H.",SBI/08,FI
IL 2A,Jumat,3,08.30 - 09.15,433-231-301,Bahasa Inggris Teknik II,"Dewi Anggraeni, S.Pd., M.Pd./Danu Angga Vebriyanto",UPA-EN,"DA, DAV"
IL 2A,Jumat,ISTIRAHAT,ISTIRAHAT,-,-,-,,
IL 2A,Jumat,4,09.35 - 10.20,433-231-301,Bahasa Inggris Teknik II,"Dewi Anggraeni, S.Pd., M.Pd./Danu Angga Vebriyanto",UPA-EN,"DA, DAV"
IL 2B,Senin,5,10.20 - 11.05,433-231-303,Mesin Mesin Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",LabMeka,MM
IL 2B,Senin,6,11.05 - 11.50,433-231-303,Mesin Mesin Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",LabMeka,MM
IL 2B,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 2B,Senin,7,12.30 - 13.15,433-231-303,Mesin Mesin Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",LabMeka,MM
IL 2B,Senin,8,13.15 - 14.00,433-231-303,Mesin Mesin Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",LabMeka,MM
IL 2B,Senin,9,14.00 - 14.45,433-231-302,Instalasi Listrik Industri,"Drs. Daeng Supriyadi Pasisarha, S.T., M.Eng.",MulMed,DS
IL 2B,Senin,10,14.45 - 15.30,433-231-302,Instalasi Listrik Industri,"Drs. Daeng Supriyadi Pasisarha, S.T., M.Eng.",MulMed,DS
IL 2B,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,,
IL 2B,Senin,11,16.00 - 16.45,433-231-302,Instalasi Listrik Industri,"Drs. Daeng Supriyadi Pasisarha, S.T., M.Eng.",MulMed,DS
IL 2B,Senin,12,16.45 - 17.30,433-231-302,Instalasi Listrik Industri,"Drs. Daeng Supriyadi Pasisarha, S.T., M.Eng.",MulMed,DS
IL 2B,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 2B,Selasa,7,12.30 - 13.15,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
